NumeroCapteur,Heure,Puissance,Adresse
4,17:34:42.915762,-75,72:e8:e7:58:96:ca
4,17:34:45.195919,-45,5c:3a:45:c2:e2:63
4,17:34:47.943284,-71,98:80:ee:cc:4e:58
4,17:34:49.682046,-71,ae:68:e4:e8:f0:4d
4,17:34:50.482787,-71,5c:61:99:59:85:29
4,17:34:55.862260,-79,5c:61:99:59:85:29
4,17:35:07.776430,-79,e8:d0:fc:a8:cd:55
4,17:35:08.533372,-69,4a:8c:0d:22:7c:a6
4,17:35:14.685481,-69,4a:8c:0d:22:7c:a6
4,17:35:19.504249,-69,4a:8c:0d:22:7c:a6
4,17:35:22.340250,-69,4a:8c:0d:22:7c:a6
4,17:35:23.787289,-73,4e:0f:cc:63:ff:47
4,17:35:26.421093,-67,4a:8c:0d:22:7c:a6
4,17:35:28.893458,-41,e4:5f:01:a0:f1:08
4,17:35:29.336402,-25,e8:4e:06:3c:96:c2
4,17:35:31.000167,-67,4a:8c:0d:22:7c:a6
4,17:35:31.774539,-33,e4:5f:01:a0:f1:08
4,17:35:33.540471,-31,e8:4e:06:3c:96:c2
4,17:35:37.629987,-75,b4:8c:9d:6b:0e:1b
4,17:35:38.560597,-23,e8:4e:06:3c:96:c2
4,17:35:44.761325,-49,5c:3a:45:c2:e2:63
4,17:35:45.221296,-51,5c:3a:45:c2:e2:63
4,17:35:54.699316,-75,ee:b7:21:3b:cb:fc
4,17:35:56.924285,-77,ea:e3:f8:89:69:00
4,17:35:58.270976,-77,5c:61:99:59:85:29
4,17:35:58.957815,-65,42:0e:47:3b:2a:1f
4,17:36:00.208711,-75,aa:db:72:44:31:28
4,17:36:05.686986,-67,52:9d:4a:b3:d8:0b
4,17:36:09.897790,-29,e8:4e:06:3c:96:c2
4,17:36:15.803056,-69,64:79:f0:62:f3:40
4,17:36:17.220045,-75,d0:39:57:52:92:e1
4,17:36:21.071509,-63,f2:fd:db:f8:73:53
4,17:36:24.994979,-61,de:e7:c9:12:80:ea
4,17:36:27.546601,-75,4a:8c:0d:22:7c:a6
4,17:36:28.634044,-75,0e:3a:f3:43:a4:e8
4,17:36:31.041211,-65,86:3a:78:7a:75:5d
4,17:36:31.837534,-71,c6:6b:a1:98:21:19
4,17:36:37.322587,-77,4a:8c:0d:22:7c:a6
4,17:36:40.565715,-73,4a:8c:0d:22:7c:a6
4,17:36:44.927965,-65,12:41:ad:07:e3:9f
4,17:36:47.223034,-63,d2:be:ca:92:0f:9b
4,17:36:48.541160,-73,4a:8c:0d:22:7c:a6
4,17:36:51.902734,-71,1a:cc:e2:9c:55:bc
4,17:36:52.900081,-73,4a:8c:0d:22:7c:a6
4,17:36:54.702358,-35,e4:5f:01:a0:f1:08
4,17:36:57.440613,-39,e4:5f:01:a0:f1:08
4,17:36:59.246455,-21,e8:4e:06:3c:96:c2
4,17:37:02.768533,-75,1a:31:2c:7c:26:41
4,17:37:04.267499,-25,e8:4e:06:3c:96:c2
4,17:37:11.241444,-25,e8:4e:06:3c:96:c2
4,17:37:15.497585,-75,dc:f5:05:99:22:dd
4,17:37:16.980370,-69,4a:8c:0d:22:7c:a6
4,17:37:18.209955,-69,76:70:e3:a6:00:47
4,17:37:19.611903,-79,92:33:9e:3d:80:c1
4,17:37:19.935493,-49,7c:2a:31:d1:ca:4f
4,17:37:21.303709,-19,e8:4e:06:3c:96:c2
4,17:37:22.360992,-77,54:35:30:51:9b:58
4,17:37:31.367840,-47,b2:1a:df:8b:b4:1e
4,17:37:33.216735,-73,da:a1:19:05:8e:15
4,17:37:35.285690,-25,e8:4e:06:3c:96:c2
4,17:37:40.946345,-71,9a:ad:ab:be:fe:f4
4,17:37:45.194331,-47,5c:3a:45:c2:e2:63
4,17:37:52.322563,-69,6e:d5:be:e1:d0:59
4,17:37:54.651279,-75,56:41:73:72:b3:1f
4,17:37:57.603435,-75,a0:18:28:11:43:d6
4,17:37:59.286974,-55,da:a1:19:00:ce:49
4,17:38:03.643915,-67,52:9d:4a:b3:d8:0b
4,17:38:07.720933,-77,e8:d0:fc:a8:cd:55
4,17:38:08.812240,-53,da:a1:19:00:ce:49
4,17:38:17.672734,-53,da:a1:19:00:ce:49
4,17:38:21.990826,-71,ae:68:e4:e8:f0:4d
4,17:38:26.850697,-53,fe:87:43:bd:18:18
4,17:38:27.706451,-67,52:9d:4a:b3:d8:0b
3,17:38:29.942967,-75,fa:73:0e:6b:5e:2b
4,17:38:37.609923,-75,b4:8c:9d:6b:0e:1b
3,17:38:37.633508,-75,b4:8c:9d:6b:0e:1b
3,17:38:39.880724,-77,28:cd:c4:0d:04:21
4,17:38:41.069758,-69,4a:8c:0d:22:7c:a6
4,17:38:44.689002,-47,5c:3a:45:c2:e2:63
3,17:38:45.978595,-77,5e:1c:40:0f:a1:7d
3,17:38:49.715843,-65,7c:2a:31:d1:ca:4f
4,17:38:49.690970,-51,7c:2a:31:d1:ca:4f
3,17:38:50.881738,-63,7c:2a:31:d1:ca:4f
4,17:38:52.210868,-71,52:9d:4a:b3:d8:0b
3,17:38:52.608971,-67,ca:7c:e3:16:91:c0
3,17:38:55.106046,-63,42:c2:4b:21:56:0c
4,17:38:58.282918,-69,5c:61:99:59:85:29
3,17:38:58.306822,-73,5c:61:99:59:85:29
4,17:38:59.128638,-65,98:80:ee:cc:4e:58
